isin,name,quantity,price,value,asset_class
XS2530201644,TORONTO DOMINION BANK NOTES 23-23.02.27 REG-S VRN,,,2665592833.0,Bonds
XS2588105036,VRN,,,2692298537.0,Bonds
XS2665592833,SE.195,,,2754416860.0,Bonds
XS2692298537,GOLDMAN SACHS 0% NOTES 23-07.11.29 SERIES P,30343194.32967033,91.0,2761230684.0,Bonds
XS2754416860,LUMINIS (4.2 % MIN/5.5 % MAX) NOTES 2024-17.01.30,27612306.84,100.0,2761230684.0,Bonds
XS2761230684,CIBC 0% NOTES 2024-13.02.2030 VARIABLE RATE,27612306.84,100.0,2761230684.0,Bonds
XS2736388732,BANK OF AMERICA NOTES 2023-20.12.31 VARIABLE RATE,26049346.0754717,106.0,2761230684.0,Bonds
XS2782869916,09.05.34,,,2824054402.0,Bonds
XS2824054402,BOFA 5.6% 2024-29.05.34 REGS,,,2824054402.0,Bonds
XS2567543397,GS 10Y CALLABLE NOTE 2024-18.06.2034,,,2848820754.0,Bonds
XS2110079584,CITIGROUP 0% MTN 2024-09.07.34 REGS,,,2912278723.0,Bonds
XS2848820754,GLOBAL RE,33863706.08139535,86.0,2912278723.0,Bonds
XS2829712830,GOLDMAN SACHS EMTN 2024-30.09.2024,28274550.708737865,103.0,2912278723.0,Bonds
XS2912278723,BANK OF AMERICA 0% NOTES 2024-17.10.2034,28274550.708737865,103.0,2912278723.0,Bonds
XS2381723902,37954,28274550.708737865,103.0,2912278723.0,Bonds
XS2829752976,18.11.2034,,,2953741100.0,Bonds
XS2953741100,BANK OF AMERICA 0 % NOTES 2024-11.12.34 REG S,,,2964611052.0,Bonds
XS2381717250,JPMORGAN CHASE 0% NOTES 2024-19.12.2034,,,2964611052.0,Bonds
XS2481066111,GOLDMAN SACHS 0% NOTES 2025-03.02.2035,,,2964611052.0,Bonds
XS2964611052,DEUTSCHE BANK 0 % NOTES 2025-14.02.35,,,2964611052.0,Bonds
LU2228214107,SP,26469741.535714287,112.0,2964611052.0,Bonds
CH1269060229,VRN,26469741.535714287,112.0,2964611052.0,Bonds
XS0461497009,DEUTSCHE BANK NOTES 23-08.11.28 VRN,19894768.8125,112.0,2228214107.0,Bonds
XS2746319610,SOCIETE GENERALE 32.46 % NOTES 2024-01.03.30 REG S,27191283.26732673,101.0,2746319610.0,Bonds
CH0244767585,UBS GROUP INC NAMEN-AKT.,2331119.8571428573,105.0,244767585.0,Equities
XS2519369867,CITD 26,,,2792098779.0,Bonds
XS2315191069,BNP PARIBAS ISS STRUCT.NOTE 21-08.01.29 ON DBDK 29 631,,,2792098779.0,Bonds
XS2792098779,CITIGROUP,,,2792098779.0,Bonds
XS2714429128,WELLS F.,,,2838389430.0,Bonds
XS2105981117,34,,,2838389430.0,Bonds
XS2838389430,LUMINIS 5.7% STR NOTE 2024-26.04.33 WFC 24W,28383894.3,100.0,2838389430.0,Bonds
XS2631782468,RABOBANK 29,27827347.352941178,102.0,2838389430.0,Bonds
XS1700087403,SRN,,,2594173093.0,Bonds
XS2594173093,NOVUS CAPITAL CREDIT LINKED NOTES 2023-27.09.2029,,,2594173093.0,Bonds
XS2407295554,NATWEST GROUP,,,2594173093.0,Bonds
XS2518123653,"RBC TORONTO 5,06% CREDIT LINKED NOTE 2022-20.06.2027",,,2594173093.0,Bonds
XS2252299883,GROUP,25181236.53,100.0,2518123653.0,Bonds
CH1259345242,RAIFF 4.5% STRUC NTS 23-11.07.28 ON REF ASSET,25181236.53,100.0,2518123653.0,Bonds
CH1259344831,RAIFF 4.75% STR.NTS 23-11.07.28 ON REF ASSET,12720654.858585859,99.0,1259344831.0,Bonds
XD0466760473,R,5365062.908045977,87.0,466760473.0,Equities
