isin,description,type,currency,nominal_quantity,price,value,weight,maturity,coupon,performance_ytd,performance_total
XS2530201644,TORONTO DOMINION BANK NOTES 23-23.02.27 REG-S VRN,Ordinary Bonds,USD,200000,28.02.2025,,,23.02.2027,3.32,,
XS2588105036,"CANADIAN IMPERIAL BANK OF COMMERCE NOTES 23-22.08.28
VRN",Ordinary Bonds,USD,200000,,172,,23.02.2027,3.32,,
XS2665592833,"HARP ISSUER (4% MIN/5,5% MAX) NOTES 2023-18.09.2028
SE.195",Ordinary Bonds,USD,200000,,27000,,23.02.2027,3.32,,
XS2692298537,GOLDMAN SACHS 0% NOTES 23-07.11.29 SERIES P,Ordinary Bonds,TES,23,28.02.2025,,,22.02.2028,5.1531,,
XS2754416860,LUMINIS (4.2 % MIN/5.5 % MAX) NOTES 2024-17.01.30,Ordinary Bonds,TES,2023,28.02.2025,,,18.09.2028,5.238,,
XS2761230684,CIBC 0% NOTES 2024-13.02.2030 VARIABLE RATE,Ordinary Bonds,USD,690000,27.02.2025,,,07.11.2029,5.238,,
XS2736388732,BANK OF AMERICA NOTES 2023-20.12.31 VARIABLE RATE,Ordinary Bonds,TES,2024,,,,07.11.2029,5.238,,
XS2782869916,"CITIGROUP GLBL 5.65 % CALL FIXED RATE NOTES 2024-
09.05.34",Ordinary Bonds,USD,50000,,,,09.05.2034,5.6,,
XS2824054402,BOFA 5.6% 2024-29.05.34 REGS,Ordinary Bonds,USD,50000,28.02.2025,,,09.05.2034,5.6,,
XS2567543397,GS 10Y CALLABLE NOTE 2024-18.06.2034,Ordinary Bonds,USD,50000,27.02.2025,,,09.05.2034,5.6,,
XS2110079584,CITIGROUP 0% MTN 2024-09.07.34 REGS,Ordinary Bonds,OFA,5,28.02.2025,,,09.05.2034,5.6,,
XS2848820754,"CITIGROUP GLBL 0 % MEDIUM TERM NOTES 2024-01.08.34
GLOBAL RE",Ordinary Bonds,OTE,2024,,,,01.08.2034,5.6,,
XS2829712830,GOLDMAN SACHS EMTN 2024-30.09.2024,Ordinary Bonds,USD,1100000,27.02.2025,,,01.08.2034,5.61,,
XS2912278723,BANK OF AMERICA 0% NOTES 2024-17.10.2034,Ordinary Bonds,USD,90000,27.02.2025,,,01.08.2034,,,
XS2381723902,"JPMORGAN CHASE  0 % NOTES 2024-29.10.34 SERIES 2021-
37954",Ordinary Bonds,USD,100000,,,,01.08.2034,,,
XS2829752976,"GOLDMAN SACHS 0% EURO MEDIUM TERM NOTES 2024-
18.11.2034",Ordinary Bonds,USD,250000,,,,18.11.2034,,,
XS2953741100,BANK OF AMERICA 0 % NOTES 2024-11.12.34 REG S,Ordinary Bonds,USD,250000,27.02.2025,,,18.11.2034,,,
XS2381717250,JPMORGAN CHASE 0% NOTES 2024-19.12.2034,Ordinary Bonds,USD,250000,26.02.2025,,,18.11.2034,,,
XS2481066111,GOLDMAN SACHS 0% NOTES 2025-03.02.2035,Ordinary Bonds,CHS,0,28.02.2025,,,18.11.2034,,,
XS2964611052,DEUTSCHE BANK 0 % NOTES 2025-14.02.35,Zero Bonds,ICA,0,27.02.2025,,,11.12.2034,3.25,,
LU2228214107,"PREMIUM ALT.S.A. SICAV-SIF - COMMERCIAL FINANCE OPP.XB
SP",Ordinary Bonds,ASE,0,,,,19.12.2034,3.25,,
CH1269060229,"BK JULIUS BAER CAP.PROT.(3,25% MIN.4,5% MAX)23-26.05.28
VRN",Ordinary Bonds,CHS,0,,63,,03.02.2035,3.25,,
XS0461497009,DEUTSCHE BANK NOTES 23-08.11.28 VRN,Ordinary Bonds,USD,690000,,,,14.02.2035,3.25,,
XS2746319610,SOCIETE GENERALE 32.46 % NOTES 2024-01.03.30 REG S,Ordinary Bonds,USD,140000,28.02.2025,,6.91%,01.03.2030,32.46,,
CH0244767585,"CHF

800

UBS GROUP INC NAMEN-AKT.",Ordinary Stocks,CHF,800,,,,,,,
XS2519369867,"BCO SAFRA CAYMAN 5% STRUCT.NOTE 2022-21.06.27 3,4%
CITD 26",Structured Bonds,USD,200000,,1917,,21.06.2027,,,
XS2315191069,BNP PARIBAS ISS STRUCT.NOTE 21-08.01.29 ON DBDK 29 631,Structured Bonds,USD,200000,28.02.2025,,,21.06.2027,,,
XS2792098779,CITIGROUP,Structured Bonds,USD,200000,28.02.2025,,,21.06.2027,,,
XS2714429128,"EMERALD BAY NOTES 23-17.09.29 S.2023-05 REG-S VRN
WELLS F.",Structured Bonds,OTE,21,,17109,,21.06.2027,,,
XS2105981117,"GOLDMAN SACHS GR.STRUCT.NOTE 21-20.12.28 VRN ON NAT
34",Structured Bonds,TES,23,,5714,,08.01.2029,,,
XS2838389430,LUMINIS 5.7% STR NOTE 2024-26.04.33 WFC 24W,Structured Bonds,TES,23,28.02.2025,,,02.12.2034,,,
XS2631782468,"LUMINIS REPACK NOTES 23-25.05.29 VRN ON 4,625%
RABOBANK 29",Structured Bonds,OTE,21,,,,17.09.2029,,,
XS1700087403,"NATIXIS STRUC.NOTES 19-20.6.26 VRN ON 4,75%METLIFE 21
SRN",Structured Bonds,USD,100000,,,,20.06.2026,,,
XS2594173093,NOVUS CAPITAL CREDIT LINKED NOTES 2023-27.09.2029,Structured Bonds,USD,100000,28.02.2025,,,20.06.2026,,,
XS2407295554,"NOVUS CAPITAL STRUCT.NOTE 2021-12.01.28 VRN ON
NATWEST GROUP",Structured Bonds,USD,100000,,4009,,20.06.2026,,,
XS2518123653,"RBC TORONTO 5,06% CREDIT LINKED NOTE 2022-20.06.2027",Structured Bonds,TES,2023,24.02.2025,,,20.06.2026,,,
XS2252299883,"NOVUS CAPITAL STRUCTURED NOTES 20-15.05.26 ON CS
GROUP",Structured Bonds,OTE,2021,,,,12.01.2028,,,
CH1259345242,"INTERBK LIBOR 3 MTH

RAIFF 4.5% STRUC NTS 23-11.07.28 ON REF ASSET",Structured Bonds,OTE,2022,,,,20.06.2027,,,
CH1259344831,RAIFF 4.75% STR.NTS 23-11.07.28 ON REF ASSET,Structured products equity,USD,250000,28.02.2025,,8.91%,11.07.2028,,,
XD0466760473,"USD

204.071

EXIGENT ENHANCED INCOME FUND LTD SHS A SERIES 2019 1
R",,USD,204,,,,,,,
